序号,代码,名称,现价 ,涨跌幅(%) ,涨跌 ,涨速(%) ,换手(%) ,量比 ,振幅(%) ,成交额 ,流通股 ,流通市值 ,市盈率 ,总市值,流通市值
1,002721,金一文化,3.61,10.06,0.33,0.0,3.98,1.87,10.37,3.72亿,26.59亿,96.00亿,--,9600356800.15,9600356800.15
2,600986,浙文互联,12.05,10.05,1.1,0.0,23.15,1.18,7.76,40.44亿,14.87亿,179.23亿,106.16,17922857447.100002,17922857447.100002
4,601615,明阳智能,21.65,10.01,1.97,0.0,0.75,0.13,0.0,3.68亿,22.61亿,489.61亿,47.95,48961403684.899994,48961403684.899994
5,002405,四维图新,11.24,9.98,1.02,0.0,8.91,2.25,9.69,22.90亿,23.56亿,264.80亿,--,26646092669.36,26479767701.56
10,002115,三维通信,15.39,7.85,1.12,-0.07,37.28,1.74,9.11,42.56亿,7.52亿,115.76亿,3258.52,12481156599.48,11576289237.48
13,000156,华数传媒,8.79,7.2,0.59,-0.23,3.11,2.42,9.76,4.59亿,17.00亿,149.42亿,35.00,16287276165.179998,14941908958.829998
16,002195,岩山科技,10.51,6.16,0.61,0.0,17.0,1.12,8.48,98.62亿,56.01亿,588.69亿,244.84,59597529854.96,58869260593.119995
22,002373,千方科技,13.27,5.4,0.68,0.15,5.27,1.56,6.04,9.50亿,13.78亿,182.81亿,83.24,20969097613.05,18280674052.02
24,600728,佳都科技,7.22,5.09,0.35,0.0,6.27,1.83,5.97,9.52亿,21.33亿,153.97亿,61.13,15397366664.42,15397366664.42
25,600869,远东股份,11.35,5.09,0.55,0.44,7.09,1.58,9.17,17.85亿,22.19亿,251.90亿,112.68,25189653667.1,25189653667.1
26,600998,九州通,5.58,5.08,0.27,0.0,4.65,5.04,6.97,13.27亿,50.42亿,281.37亿,10.68,28136983905.72,28136983905.72
30,600850,电科数字,30.44,4.93,1.43,0.0,4.86,1.59,7.41,9.95亿,6.80亿,207.05亿,60.94,20705249676.04,20705249676.04
32,600335,国机汽车,7.05,4.91,0.33,-0.28,4.53,4.05,8.19,4.73亿,14.96亿,105.45亿,21.91,10545310278.6,10545310278.6
33,002429,兆驰股份,10.14,4.86,0.47,0.4,3.99,1.05,7.03,18.14亿,45.24亿,458.77亿,34.42,45903177754.98,45876736802.520004
34,600522,中天科技,19.79,4.82,0.91,0.46,5.95,1.42,6.89,40.43亿,34.13亿,675.42亿,21.66,67542273613.079994,67542273613.079994
36,600880,博瑞传播,6.15,4.59,0.27,0.0,7.45,1.12,5.61,4.96亿,10.93亿,67.22亿,642.68,6723992365.8,6722135576.25
37,002400,省广集团,11.49,4.55,0.5,0.0,19.28,1.03,5.82,37.96亿,17.26亿,198.34亿,156.34,20030943600.72,19833631460.82
39,600556,天下秀,7.82,4.41,0.33,0.0,10.66,1.03,5.07,14.87亿,18.08亿,141.37亿,297.35,14136586560.44,14136586560.44
40,600693,东百集团,15.32,4.29,0.63,0.07,7.55,0.93,5.72,9.95亿,8.69亿,133.12亿,113.51,13326044488.72,13312356620.24
48,002757,南兴股份,20.98,3.55,0.72,0.05,11.31,0.91,4.44,6.62亿,2.82亿,59.17亿,50.63,6198665054.74,5917491262.58
50,601778,晶科科技,4.44,3.5,0.15,0.0,5.4,0.98,6.29,8.48亿,35.71亿,158.55亿,33.43,15855242837.160002,15855242837.160002
53,603888,新华网,24.75,3.34,0.8,0.16,5.34,0.94,4.51,8.91亿,6.75亿,167.00亿,61.56,16699769658.0,16699769658.0
54,600699,均胜电子,31.25,3.27,0.99,0.0,5.22,1.41,3.63,21.89亿,13.55亿,423.45亿,32.45,48461580093.75,42345426375.0
55,600410,华胜天成,21.04,3.24,0.66,0.0,17.29,0.76,5.25,39.65亿,10.96亿,230.70亿,48.28,23070248130.32,23070248130.32
65,603598,引力传媒,26.77,2.96,0.77,0.0,17.4,1.43,9.0,12.59亿,2.69亿,72.08亿,265.82,7216198833.0,7208167833.0
67,002639,雪人集团,23.44,2.85,0.65,0.0,33.07,1.53,5.0,50.94亿,6.51亿,152.50亿,346.80,18109795052.32,15250516532.640001
68,000681,视觉中国,27.9,2.84,0.77,0.14,15.96,1.17,4.9,30.06亿,6.76亿,188.68亿,197.27,19546110464.399998,18867750059.7
72,002396,星网锐捷,28.98,2.77,0.78,-0.03,5.43,1.22,3.48,9.07亿,5.83亿,169.03亿,36.96,16973443940.04,16903462456.44
73,001330,博纳影业,9.32,2.76,0.25,0.0,10.69,1.16,5.4,13.64亿,13.75亿,128.10亿,--,12810516930.880001,12810516930.880001
76,000727,冠捷科技,2.73,2.63,0.07,0.37,3.17,1.72,3.01,3.89亿,45.30亿,123.66亿,--,12365717855.4,12365717855.4
79,002044,美年健康,7.73,2.52,0.19,0.13,10.32,0.79,5.84,30.89亿,38.74亿,299.48亿,437.58,30257182824.79,29947779556.710003
80,600734,实达集团,4.89,2.52,0.12,0.0,6.51,0.67,3.77,6.86亿,21.78亿,106.50亿,--,10651902188.34,10649701688.34
89,002527,新时达,18.06,2.44,0.43,0.28,6.75,0.73,2.84,6.37亿,5.29亿,95.59亿,2066.45,11974886915.46,9558802723.679998
92,600633,浙数文化,15.4,2.39,0.36,0.0,4.37,1.03,4.46,8.56亿,12.68亿,195.28亿,27.39,19528346868.8,19528346868.8
93,002777,久远银海,21.05,2.38,0.49,0.19,4.93,0.89,3.11,4.17亿,4.05亿,85.15亿,150.62,8593263349.9,8514966885.55
94,000516,国际医学,5.21,2.36,0.12,0.0,4.17,0.97,1.97,4.77亿,22.05亿,114.87亿,--,11664652083.13,11487301161.49
95,000676,智度股份,9.71,2.32,0.22,0.1,4.43,0.87,3.27,5.40亿,12.59亿,122.25亿,76.91,12232553277.650002,12225167045.720001
