序号,代码,名称,现价 ,涨跌幅(%) ,涨跌 ,涨速(%) ,换手(%) ,量比 ,振幅(%) ,成交额 ,流通股 ,流通市值 ,市盈率 
1,002721,金一文化,3.61,10.06,0.33,0.00,3.98,1.87,10.37,3.72亿,26.59亿,96.00亿,--
2,600986,浙文互联,12.05,10.05,1.10,0.00,23.15,1.18,7.76,40.44亿,14.87亿,179.23亿,106.16
3,000607,华媒控股,5.04,10.04,0.46,0.00,13.80,4.25,10.26,6.07亿,8.85亿,44.61亿,--
4,601615,明阳智能,21.65,10.01,1.97,0.00,0.75,0.13,0.00,3.68亿,22.61亿,489.61亿,47.95
5,002405,四维图新,11.24,9.98,1.02,0.00,8.91,2.25,9.69,22.90亿,23.56亿,264.80亿,--
6,301218,华是科技,31.65,9.55,2.76,0.38,33.83,1.26,13.46,7.21亿,0.70亿,22.18亿,--
7,920227,美登科技,86.83,9.43,7.48,0.00,21.66,1.24,13.74,3.17亿,0.18亿,15.28亿,84.80
8,301171,易点天下,66.00,9.05,5.48,-0.02,25.81,0.94,18.61,62.26亿,3.82亿,252.23亿,114.74
9,301378,通达海,42.44,8.04,3.16,0.00,29.40,1.80,14.97,5.66亿,0.46亿,19.49亿,--
10,002115,三维通信,15.39,7.85,1.12,-0.07,37.28,1.74,9.11,42.56亿,7.52亿,115.76亿,3258.52
11,300058,蓝色光标,20.55,7.70,1.47,0.00,25.28,1.26,12.16,174.13亿,34.80亿,715.15亿,282.78
12,301382,蜂助手,41.87,7.39,2.88,0.24,20.30,2.57,18.21,14.97亿,1.76亿,73.81亿,66.71
13,000156,华数传媒,8.79,7.20,0.59,-0.23,3.11,2.42,9.76,4.59亿,17.00亿,149.42亿,35.00
14,300063,天龙集团,14.90,6.66,0.93,0.00,33.68,1.42,14.24,30.58亿,6.27亿,93.36亿,76.42
15,688365,光云科技,26.62,6.22,1.56,0.08,7.86,1.02,10.81,8.77亿,4.26亿,113.36亿,--
16,002195,岩山科技,10.51,6.16,0.61,0.00,17.00,1.12,8.48,98.62亿,56.01亿,588.69亿,244.84
17,300036,超图软件,20.25,6.08,1.16,0.10,8.11,1.60,7.33,7.10亿,4.38亿,88.79亿,174.22
18,688648,中邮科技,66.61,5.75,3.62,0.17,8.20,1.46,8.22,3.72亿,0.70亿,46.31亿,10.10
19,300785,值得买,64.66,5.48,3.36,0.00,22.61,1.26,10.38,17.57亿,1.22亿,79.10亿,717.06
20,002995,天地在线,22.82,5.45,1.18,0.04,35.45,1.67,9.38,9.05亿,1.12亿,25.65亿,--
21,301580,爱迪特,56.72,5.45,2.93,0.02,8.12,1.99,9.57,3.31亿,0.72亿,40.85亿,32.03
22,002373,千方科技,13.27,5.40,0.68,0.15,5.27,1.56,6.04,9.50亿,13.78亿,182.81亿,83.24
23,300068,南都电源,16.79,5.13,0.82,0.06,7.74,1.79,5.20,10.95亿,8.53亿,143.25亿,--
24,600728,佳都科技,7.22,5.09,0.35,0.00,6.27,1.83,5.97,9.52亿,21.33亿,153.97亿,61.13
25,600869,远东股份,11.35,5.09,0.55,0.44,7.09,1.58,9.17,17.85亿,22.19亿,251.90亿,112.68
26,600998,九州通,5.58,5.08,0.27,0.00,4.65,5.04,6.97,13.27亿,50.42亿,281.37亿,10.68
27,002398,垒知集团,6.41,5.08,0.31,0.31,14.94,3.18,8.36,5.44亿,5.69亿,36.49亿,34.40
28,301017,漱玉平民,18.60,5.03,0.89,0.05,12.31,1.61,4.29,5.57亿,2.44亿,45.31亿,51.84
29,300253,卫宁健康,12.08,4.95,0.57,0.00,11.90,1.05,7.65,26.12亿,18.24亿,220.34亿,--
30,600850,电科数字,30.44,4.93,1.43,0.00,4.86,1.59,7.41,9.95亿,6.80亿,207.05亿,60.94
31,301231,荣信文化,40.55,4.92,1.90,0.15,19.59,1.16,7.92,4.18亿,0.54亿,21.86亿,--
32,600335,国机汽车,7.05,4.91,0.33,-0.28,4.53,4.05,8.19,4.73亿,14.96亿,105.45亿,21.91
33,002429,兆驰股份,10.14,4.86,0.47,0.40,3.99,1.05,7.03,18.14亿,45.24亿,458.77亿,34.42
34,600522,中天科技,19.79,4.82,0.91,0.46,5.95,1.42,6.89,40.43亿,34.13亿,675.42亿,21.66
35,688246,嘉和美康,28.31,4.62,1.25,0.28,5.66,1.01,6.58,2.18亿,1.38亿,38.95亿,--
36,600880,博瑞传播,6.15,4.59,0.27,0.00,7.45,1.12,5.61,4.96亿,10.93亿,67.22亿,642.68
37,002400,省广集团,11.49,4.55,0.50,0.00,19.28,1.03,5.82,37.96亿,17.26亿,198.34亿,156.34
38,301236,软通动力,52.15,4.45,2.22,0.15,4.42,1.60,6.51,17.81亿,7.83亿,408.41亿,376.92
39,600556,天下秀,7.82,4.41,0.33,0.00,10.66,1.03,5.07,14.87亿,18.08亿,141.37亿,297.35
40,600693,东百集团,15.32,4.29,0.63,0.07,7.55,0.93,5.72,9.95亿,8.69亿,133.12亿,113.51
41,300418,昆仑万维,55.74,4.28,2.29,0.23,9.02,1.20,6.44,62.53亿,12.54亿,699.25亿,--
42,301110,青木科技,79.22,4.11,3.13,0.03,9.21,1.09,6.79,4.76亿,0.65亿,51.78亿,69.06
43,300496,中科创达,80.76,3.98,3.09,0.01,6.28,0.94,4.60,18.39亿,3.68亿,297.40亿,121.85
44,300657,弘信电子,31.45,3.97,1.20,0.16,10.53,2.76,4.79,15.67亿,4.71亿,148.16亿,125.75
45,300378,鼎捷数智,59.51,3.88,2.22,0.14,9.10,0.96,6.18,14.51亿,2.70亿,160.40亿,237.24
46,300682,朗新科技,19.31,3.82,0.71,0.00,6.35,1.04,8.44,12.76亿,10.32亿,199.29亿,147.63
47,300244,迪安诊断,27.35,3.68,0.97,0.55,17.06,1.11,6.56,23.48亿,5.01亿,137.15亿,226.08
48,002757,南兴股份,20.98,3.55,0.72,0.05,11.31,0.91,4.44,6.62亿,2.82亿,59.17亿,50.63
49,300170,汉得信息,27.07,3.52,0.92,0.22,15.13,1.01,5.54,39.84亿,9.77亿,264.50亿,142.90
50,601778,晶科科技,4.44,3.50,0.15,0.00,5.40,0.98,6.29,8.48亿,35.71亿,158.55亿,33.43
51,301408,华人健康,23.98,3.50,0.81,0.08,27.75,1.22,6.82,9.91亿,1.49亿,35.77亿,45.90
52,688629,华丰科技,104.73,3.43,3.47,-0.07,7.25,0.94,5.49,13.66亿,1.82亿,190.38亿,162.32
53,603888,新华网,24.75,3.34,0.80,0.16,5.34,0.94,4.51,8.91亿,6.75亿,167.00亿,61.56
54,600699,均胜电子,31.25,3.27,0.99,0.00,5.22,1.41,3.63,21.89亿,13.55亿,423.45亿,32.45
55,600410,华胜天成,21.04,3.24,0.66,0.00,17.29,0.76,5.25,39.65亿,10.96亿,230.70亿,48.28
56,300458,全志科技,46.83,3.22,1.46,-0.02,9.43,2.09,6.15,30.21亿,6.76亿,316.42亿,104.12
57,300027,华谊兄弟,2.29,3.15,0.07,0.00,4.26,1.33,4.05,2.40亿,24.85亿,56.91亿,--
58,300078,思创智联,5.25,3.14,0.16,0.19,7.60,0.85,4.71,4.39亿,11.13亿,58.45亿,--
59,300911,亿田智能,37.06,3.12,1.12,0.00,2.58,1.94,4.15,1.64亿,1.71亿,63.50亿,--
60,300426,华智数媒,8.64,3.10,0.26,-0.23,3.07,1.09,5.25,1.05亿,4.00亿,34.56亿,--
61,300248,新开普,13.99,3.10,0.42,0.00,6.03,1.27,4.35,3.41亿,4.09亿,57.24亿,--
62,300469,信息发展,66.21,3.04,1.95,0.03,3.89,1.41,6.35,6.42亿,2.48亿,164.35亿,--
63,300212,易华录,16.39,3.02,0.48,0.06,4.87,0.72,5.09,5.48亿,6.99亿,114.49亿,--
64,688663,新风光,57.57,2.99,1.67,0.17,5.26,0.88,4.15,4.28亿,1.41亿,81.39亿,73.52
65,603598,引力传媒,26.77,2.96,0.77,0.00,17.40,1.43,9.00,12.59亿,2.69亿,72.08亿,265.82
66,688159,有方科技,54.84,2.87,1.53,0.06,3.35,0.86,3.40,1.68亿,0.93亿,50.85亿,45.80
67,002639,雪人集团,23.44,2.85,0.65,0.00,33.07,1.53,5.00,50.94亿,6.51亿,152.50亿,346.80
68,000681,视觉中国,27.90,2.84,0.77,0.14,15.96,1.17,4.90,30.06亿,6.76亿,188.68亿,197.27
69,300292,吴通控股,4.72,2.83,0.13,0.00,4.47,1.03,3.70,2.34亿,11.16亿,52.67亿,51.75
